budget,id,original_title,popularity,release_date,revenue,title,vote_average,vote_count,Collection,genres,ProdCompany_1,ProdCompany_2,ProdCompany_3,release_year,return
0.0,264098,Superdome,0.390858,1978-01-09,0.0,Superdome,0.0,0.0,,"['Crime', 'Drama']",ABC Circle Films,,,1978,0.0
0.0,202639,Hurricane,0.595553,1974-09-10,0.0,Hurricane,6.0,1.0,,"['Drama', 'TV Movie']",Metromedia Producers Corporation (MPC),,,1974,0.0
0.0,46696,"Vizi privati, pubbliche virtù",1.532738,1976-05-06,0.0,"Private Vices, Public Virtues",5.5,8.0,,"['Drama', 'War']",Jadran Film,Filmes Cinematografica,,1976,0.0
600000.0,29582,The Odd Angry Shot,1.092844,1979-03-01,0.0,The Odd Angry Shot,7.3,6.0,,['War'],The Australian Film Commission,New South Wales Film Corp.,,1979,0.0
0.0,106268,Breaking Point,0.158148,1975-10-12,0.0,Breaking Point,4.0,3.0,,,,,,1975,0.0
1500000.0,27662,Deep Space,0.785271,1988-05-01,0.0,Deep Space,3.8,4.0,,"['Horror', 'Science Fiction']",,,,1988,0.0
0.0,15469,Le Couteau dans la plaie,0.191724,1962-12-12,0.0,Five Miles to Midnight,6.5,1.0,,"['Crime', 'Drama', 'Thriller']",Mercury,Filmsonor,Dear Film Produzione,1962,0.0
0.0,242628,"Go West, Young Lady",0.807261,1941-11-27,0.0,"Go West, Young Lady",7.0,1.0,,"['Comedy', 'Western']",Columbia Pictures Corporation,,,1941,0.0
0.0,112739,In God We Tru$t,0.622255,1980-09-26,0.0,In God We Tru$t,5.8,8.0,,['Comedy'],Universal Pictures,,,1980,0.0
0.0,114116,Law and Order,0.174131,1969-03-02,0.0,Law and Order,6.7,3.0,,['Documentary'],,,,1969,0.0
0.0,167262,Cattle Annie and Little Britches,0.378564,1981-04-24,0.0,Cattle Annie and Little Britches,5.7,3.0,,['Western'],,,,1981,0.0
0.0,204737,Off the Minnesota Strip,0.339137,1980-05-05,0.0,Off the Minnesota Strip,0.0,0.0,,"['Drama', 'TV Movie']",,,,1980,0.0
0.0,58920,Lost in a Harem,0.34846,1944-12-01,0.0,Lost in a Harem,5.6,4.0,,['Comedy'],Metro-Goldwyn-Mayer (MGM),,,1944,0.0
0.0,120520,Somebody Killed Her Husband,0.372751,1978-09-29,0.0,Somebody Killed Her Husband,7.5,2.0,,"['Mystery', 'Comedy', 'Crime']",,,,1978,0.0
0.0,257574,My Sweet Charlie,0.25275,1970-01-20,0.0,My Sweet Charlie,0.0,0.0,,"['TV Movie', 'Drama']",Universal TV,Bob Banner Associates,,1970,0.0
0.0,241797,A Covenant with Death,0.626622,1967-02-15,0.0,A Covenant with Death,7.0,1.0,,['Drama'],,,,1967,0.0
0.0,187482,My Blood Runs Cold,0.024045,1965-03-24,0.0,My Blood Runs Cold,0.0,0.0,,"['Mystery', 'Thriller', 'Drama']",William Conrad Productions,,,1965,0.0
0.0,17212,Patrick,3.868092,1978-10-01,0.0,Patrick,6.1,27.0,,"['Horror', 'Science Fiction', 'Thriller']",Filmways Australasian,Australian International Film Corp. (AIFC),,1978,0.0
0.0,22365,Apache Blood,0.005082,1975-01-06,0.0,Apache Blood,0.0,1.0,,['Western'],,,,1975,0.0
0.0,29254,Rhubarb,0.351497,1951-08-29,0.0,Rhubarb,4.2,3.0,,['Comedy'],Paramount Pictures,,,1951,0.0
0.0,183218,Safe at Home!,0.352739,1962-04-13,0.0,Safe at Home!,4.5,2.0,,"['Drama', 'Comedy']",Columbia Pictures,,,1962,0.0
0.0,278283,The Great Man Votes,0.605472,1939-01-13,0.0,The Great Man Votes,6.5,1.0,,['Drama'],RKO Radio Pictures,,,1939,0.0
0.0,184267,The Young Rajah,0.292011,1922-11-11,0.0,The Young Rajah,0.0,0.0,,"['Drama', 'Romance']",Paramount Pictures,,,1922,0.0
0.0,52827,Thunderhead - Son of Flicka,0.37161,1945-03-15,0.0,Thunderhead - Son of Flicka,0.0,1.0,The Flicka Collection,"['Drama', 'Family']",Twentieth Century Fox Film Corporation,,,1945,0.0
0.0,36335,Dear Murderer,0.595312,1947-06-23,0.0,Dear Murderer,5.5,6.0,,['Thriller'],Eagle-Lion Films,,,1947,0.0
0.0,9629,Winnetou und sein Freund Old Firehand,1.55251,1966-12-13,0.0,Thunder at the Border,5.5,13.0,,"['Adventure', 'Western']",Jadran Film,Rialto Film Preben-Philipsen,,1966,0.0
0.0,53435,"A Man, a Woman and a Bank",0.616693,1979-09-28,0.0,"A Man, a Woman and a Bank",6.3,4.0,,"['Action', 'Comedy', 'Romance']",,,,1979,0.0
0.0,67183,Paganini Horror,0.974416,1989-06-06,0.0,Paganini Horror,3.0,4.0,,"['Horror', 'Music']",Fulvia Film,,,1989,0.0
0.0,61117,Hardbodies 2,0.608661,1986-09-12,0.0,Hardbodies 2,4.1,9.0,Hardbodies Collection,['Comedy'],,,,1986,0.0
0.0,52736,Hardbodies,1.645408,1984-05-04,0.0,Hardbodies,5.0,17.0,Hardbodies Collection,['Comedy'],Columbia Pictures Corporation,Chroma III Productions,,1984,0.0
0.0,84724,Stitches,0.068551,1985-11-01,0.0,Stitches,0.0,0.0,,['Comedy'],Robert P. Marcucci Productions,,,1985,0.0
0.0,124611,Sevmek Zamanı,0.546324,1965-10-09,0.0,Time to Love,8.2,6.0,,"['Drama', 'Romance']",Troya Film,,,1965,0.0
0.0,270336,Kadin Hamlet,0.078659,1977-01-01,0.0,The Angel of Vengeance - The Female Hamlet,5.0,2.0,,['Drama'],Ugur Film,,,1977,0.0
0.0,270409,Suçlular aramizda,0.00294,1964-12-07,0.0,Suçlular aramizda,0.0,0.0,,"['Crime', 'Drama']",,,,1964,0.0
0.0,2189,Tomboy,7.313067,1985-11-14,14100000.0,Tomboy,5.3,13.0,,"['Comedy', 'Romance']",Crown International Pictures,Marimark Productions,,1985,0.0
0.0,110538,It Takes Two,0.00243,1988-07-13,0.0,It Takes Two,5.4,5.0,,"['Comedy', 'Romance']",United Artists,,,1988,0.0
0.0,60029,Malibu Beach,0.084335,1978-05-01,0.0,Malibu Beach,4.3,5.0,,['Comedy'],Marimark Productions,,,1978,0.0
0.0,52117,Hamburger: The Motion Picture,0.975652,1986-05-05,0.0,Hamburger: The Motion Picture,5.1,11.0,,['Comedy'],Busterburger Limited Partnership,,,1986,0.0
0.0,67693,Jocks,0.521713,1986-11-14,0.0,Jocks,3.4,5.0,,['Comedy'],Mount Olympus Productions,,,1986,0.0
0.0,148833,Last Resort,0.696667,1986-03-31,0.0,Last Resort,4.0,2.0,,['Comedy'],Concorde Pictures,Trinity Pictures,,1986,0.0
0.0,163523,14 Going on 30,0.050841,1988-03-06,0.0,14 Going on 30,5.0,4.0,,,,,,1988,0.0
0.0,214216,Babycakes,0.141336,1989-02-14,0.0,Babycakes,4.0,1.0,,"['Comedy', 'Drama', 'Romance']",The Königsberg Company,,,1989,0.0
0.0,46836,Willy/Milly,0.05627,1986-11-14,235262.0,Willy/Milly,6.0,1.0,,"['Comedy', 'Fantasy']",,,,1986,0.0
0.0,70349,Panna a netvor,2.936378,1978-03-01,0.0,Beauty and the Beast,7.8,20.0,,"['Drama', 'Fantasy', 'Horror', 'Romance']",Filmové Studio Barrandov,,,1978,0.0
500000.0,88338,Running Hot,0.11065,1984-02-01,0.0,Running Hot,6.5,2.0,,"['Crime', 'Drama']",Highroad,,,1984,0.0
